Customer_ID,Reference_Date,Geopolitical_Zone,State,Residence_Type,Age,Gender,Marital_Status,Education_Level,Occupation,Income_Regularity,Monthly_Income_NGN,Account_Type,Salary_Account,Tenure_Years,Account_Balance_NGN,Account_Balance_3M_Ago_NGN,Balance_Change_Pct_3M,Number_of_Products,Has_Debit_Card,Has_Credit_Card,Mobile_Banking,Internet_Banking,USSD_Banking,Preferred_Channel,Digital_Transaction_Share,Digital_Engagement,Monthly_Transactions_3M_Ago,Monthly_Transactions_Current,Transaction_Change_Pct_3M,Transaction_Frequency,Monthly_Transaction_Value_NGN,Months_Inactive_12M,Days_Since_Last_Transaction,Active_Member,Failed_Transactions_3M,Customer_Service_Contacts_6M,Complaints_6M,Unresolved_Complaints_6M,Average_Resolution_Days,Monthly_Bank_Fees_NGN,Fee_to_Income_Pct,Satisfaction_Score,Loan_Status,Loan_Amount_NGN,Credit_Score,Active_Account_at_Another_Bank,Churn_Within_6M
NGBK000011,2024-12-31,South West,Osun,Urban,54,Male,Married,Secondary,Private Employee,Regular,137000,Salary,Yes,6.5,21200,19500,0.087,1,Yes,No,Yes,Yes,No,Mobile App,0.83,High,23,27,0.174,High,209300,0,5,Yes,2,0,0,0,0.0,1700,1.24,5,No Loan,0,677,No,No
NGBK000012,2024-12-31,North West,Kaduna,Urban,29,Male,Single,HND/Bachelor,Civil Servant,Regular,335000,Salary,Yes,2.4,114900,114200,0.006,4,Yes,No,Yes,Yes,Yes,Branch,0.83,High,39,35,-0.103,Very High,988600,0,7,Yes,3,3,1,0,6.7,2100,0.63,2,No Loan,0,675,Yes,No
NGBK000013,2024-12-31,South East,Anambra,Urban,39,Male,Single,Secondary,Self-Employed,Variable,171000,Savings,No,5.9,148200,245800,-0.397,1,Yes,No,Yes,Yes,No,Mobile App,0.71,High,22,17,-0.227,High,133700,2,2,Yes,0,0,0,0,0.0,1400,0.82,3,No Loan,0,698,No,Yes
NGBK000014,2024-12-31,South East,Imo,Rural,41,Female,Married,Primary,Business Owner,Variable,535000,Current,No,8.9,137600,123600,0.113,4,Yes,No,Yes,No,No,Mobile App,0.47,High,33,26,-0.212,High,1004000,3,6,Yes,0,1,0,0,0.0,3200,0.6,4,Completed,2064000,761,Yes,Yes
NGBK000015,2024-12-31,North West,Kano,Urban,31,Male,Married,Secondary,Other,Variable,114000,Savings,Yes,0.8,28600,23600,0.213,1,Yes,No,Yes,No,No,Mobile App,0.4,Medium,20,27,0.35,High,186900,2,2,Yes,0,0,0,0,0.0,1400,1.23,3,No Loan,0,633,Yes,No
NGBK000016,2024-12-31,North West,Kebbi,Rural,36,Male,Married,Secondary,Self-Employed,Variable,129000,Current,No,3.8,39200,43100,-0.09,1,Yes,No,Yes,Yes,No,Web Transfer,0.64,High,8,5,-0.375,Low,120200,5,38,No,1,0,0,0,0.0,1900,1.47,5,No Loan,0,559,No,No
NGBK000017,2024-12-31,South West,Ekiti,Rural,53,Male,Married,Postgraduate,Unemployed,Irregular,49000,Savings,No,9.2,25200,26900,-0.064,1,Yes,No,Yes,Yes,No,ATM,0.52,High,25,26,0.04,High,38400,0,2,Yes,2,0,0,0,0.0,1600,3.27,4,No Loan,0,703,No,No
NGBK000018,2024-12-31,South West,Lagos,Urban,37,Female,Married,Primary,Trader,Variable,123000,Savings,No,3.6,45600,36100,0.262,1,Yes,No,No,Yes,No,Web Transfer,0.49,Medium,23,19,-0.174,High,100100,1,12,Yes,0,3,0,0,0.0,1800,1.46,4,Current,783000,632,Yes,No
NGBK000019,2024-12-31,North East,Gombe,Rural,37,Male,Separated/Widowed,Secondary,Business Owner,Variable,138000,Current,No,0.5,32100,33900,-0.052,2,No,No,No,Yes,No,ATM,0.19,Medium,20,21,0.05,High,199800,1,4,Yes,0,0,0,0,0.0,3100,2.25,4,Current,340000,615,Yes,No
NGBK000020,2024-12-31,South South,Bayelsa,Urban,43,Male,Married,HND/Bachelor,Professional/Technician,Regular,503000,Salary,Yes,3.6,1288900,1229900,0.048,2,Yes,No,Yes,No,No,ATM,0.54,High,22,31,0.409,Very High,941900,1,5,Yes,0,0,0,0,0.0,1800,0.36,4,Current,1786000,704,Yes,No
NGBK000021,2024-12-31,North West,Kebbi,Rural,38,Female,Single,Postgraduate,Self-Employed,Regular,188000,Savings,Yes,2.2,99200,96100,0.032,2,Yes,Yes,Yes,Yes,Yes,ATM,0.85,High,26,38,0.462,Very High,460600,2,6,Yes,1,0,0,0,0.0,1900,1.01,4,Current,503000,645,Yes,No
NGBK000022,2024-12-31,North West,Kano,Urban,20,Male,Single,Secondary,Other,Regular,67000,Salary,Yes,1.5,46400,47600,-0.026,1,Yes,No,Yes,Yes,Yes,Mobile App,0.8,High,14,16,0.143,High,115800,2,3,Yes,0,1,0,0,0.0,900,1.34,4,No Loan,0,647,No,No
NGBK000023,2024-12-31,North West,Jigawa,Urban,52,Female,Married,HND/Bachelor,Civil Servant,Regular,145000,Savings,No,2.9,197900,315100,-0.372,1,Yes,No,Yes,Yes,Yes,POS,0.71,High,22,17,-0.227,High,260600,2,16,Yes,1,1,0,0,0.0,1600,1.1,3,No Loan,0,570,No,No
NGBK000024,2024-12-31,South South,Bayelsa,Rural,49,Female,Married,OND/NCE,Self-Employed,Irregular,218000,Savings,No,13.7,72900,138300,-0.473,2,Yes,No,Yes,Yes,Yes,Web Transfer,0.77,High,16,18,0.125,High,396500,0,10,Yes,1,1,1,0,2.4,1200,0.55,2,No Loan,0,636,Yes,No
NGBK000025,2024-12-31,North West,Jigawa,Urban,63,Female,Married,OND/NCE,Other,Regular,80000,Savings,No,6.1,14300,12300,0.166,1,No,Yes,Yes,No,No,Mobile App,0.63,Medium,19,19,0.0,High,166400,2,5,Yes,2,0,0,0,0.0,1500,1.88,4,No Loan,0,648,No,No
NGBK000026,2024-12-31,North East,Bauchi,Rural,39,Female,Married,OND/NCE,Self-Employed,Variable,131000,Savings,No,3.2,27200,30600,-0.111,2,No,No,Yes,No,Yes,USSD,0.41,Medium,11,15,0.364,Medium,161200,0,13,Yes,0,0,0,0,0.0,1000,0.76,3,Current,296000,555,No,No
NGBK000027,2024-12-31,South West,Lagos,Urban,24,Female,Married,OND/NCE,Private Employee,Regular,162000,Savings,No,1.5,217200,180700,0.202,1,Yes,No,No,Yes,Yes,POS,0.78,High,19,10,-0.474,Medium,164700,1,19,Yes,0,0,0,0,0.0,1900,1.17,3,No Loan,0,533,Yes,No
NGBK000028,2024-12-31,North West,Zamfara,Urban,42,Female,Married,Secondary,Self-Employed,Variable,485000,Current,No,2.4,128100,113000,0.134,2,Yes,No,Yes,No,No,Branch,0.29,Medium,11,10,-0.091,Medium,392500,2,19,Yes,0,0,0,0,0.0,2500,0.52,5,Current,4125000,609,No,No
NGBK000029,2024-12-31,South South,Delta,Rural,28,Male,Single,OND/NCE,Self-Employed,Variable,70000,Savings,No,1.8,60100,75000,-0.199,2,Yes,Yes,Yes,Yes,No,POS,0.58,High,35,39,0.114,Very High,121400,1,6,Yes,0,0,0,0,0.0,1800,2.57,4,No Loan,0,635,No,Yes
NGBK000030,2024-12-31,South West,Osun,Rural,21,Female,Single,OND/NCE,Unemployed,Irregular,20000,Savings,No,1.3,31900,42300,-0.245,1,Yes,Yes,Yes,Yes,No,Mobile App,0.56,High,21,15,-0.286,Medium,22700,3,19,Yes,0,0,0,0,0.0,1600,8.0,5,No Loan,0,658,No,Yes
NGBK000031,2024-12-31,South East,Enugu,Rural,32,Female,Married,No formal,Artisan/Skilled Trade,Irregular,58000,Savings,No,6.2,100900,103300,-0.023,3,No,No,Yes,No,No,Mobile App,0.43,Medium,23,26,0.13,High,86900,4,7,No,0,0,0,0,0.0,2000,3.45,4,No Loan,0,640,No,Yes
NGBK000032,2024-12-31,North East,Gombe,Rural,55,Male,Single,Postgraduate,Self-Employed,Variable,469000,Savings,No,6.7,321300,277500,0.158,1,Yes,No,Yes,Yes,Yes,POS,0.43,High,13,13,0.0,Medium,354700,3,8,Yes,0,1,1,0,5.8,1200,0.26,4,No Loan,0,636,No,No
NGBK000033,2024-12-31,North Central,Nasarawa,Rural,48,Female,Single,Secondary,Private Employee,Variable,393000,Savings,No,7.9,149600,123600,0.21,1,Yes,No,No,Yes,Yes,Web Transfer,0.54,High,28,26,-0.071,High,619500,0,7,Yes,0,0,0,0,0.0,1300,0.33,4,Current,2695000,658,Yes,No
NGBK000034,2024-12-31,South East,Abia,Rural,42,Female,Married,Primary,Trader,Variable,151000,Savings,Yes,0.9,52300,51800,0.01,2,Yes,No,Yes,No,Yes,POS,0.62,High,18,18,0.0,High,268500,0,3,Yes,1,0,0,0,0.0,900,0.6,4,No Loan,0,721,No,No
NGBK000035,2024-12-31,South West,Lagos,Urban,45,Male,Single,OND/NCE,Civil Servant,Regular,536000,Salary,Yes,4.6,516000,398100,0.296,3,Yes,No,No,Yes,No,POS,0.41,Medium,9,11,0.222,Medium,498200,4,16,No,2,2,1,0,4.6,2000,0.37,2,Current,2923000,669,Yes,Yes
NGBK000036,2024-12-31,North Central,FCT,Urban,53,Female,Married,HND/Bachelor,Manager/Executive,Regular,1302000,Salary,No,7.4,1196100,1165800,0.026,2,Yes,No,Yes,Yes,Yes,Mobile App,0.68,High,15,17,0.133,High,1680300,2,7,Yes,0,0,0,0,0.0,1700,0.13,5,Current,1378000,659,No,No
NGBK000037,2024-12-31,North Central,Kogi,Urban,67,Female,Separated/Widowed,HND/Bachelor,Other,Variable,223000,Savings,No,5.8,190100,196800,-0.034,2,Yes,No,Yes,Yes,No,Branch,0.44,High,13,13,0.0,Medium,102700,3,11,Yes,0,1,0,0,0.0,1700,0.76,4,No Loan,0,625,Yes,No
NGBK000038,2024-12-31,North West,Katsina,Urban,46,Male,Married,HND/Bachelor,Professional/Technician,Variable,446000,Savings,No,12.5,187800,164700,0.14,3,Yes,Yes,Yes,No,No,Mobile App,0.62,High,18,20,0.111,High,519500,0,6,Yes,1,0,0,0,0.0,1700,0.38,5,Current,6509000,641,Yes,No
NGBK000039,2024-12-31,North West,Katsina,Urban,42,Female,Married,HND/Bachelor,Private Employee,Regular,172000,Salary,Yes,5.6,108400,119500,-0.093,4,Yes,No,Yes,Yes,No,Web Transfer,0.84,High,34,38,0.118,Very High,522000,2,4,Yes,1,1,0,0,0.0,1800,1.05,4,Delinquent,505000,645,Yes,No
NGBK000040,2024-12-31,South West,Ogun,Rural,31,Female,Married,Secondary,Artisan/Skilled Trade,Variable,40000,Savings,No,5.5,22200,24100,-0.078,1,No,No,Yes,No,No,Mobile App,0.3,Medium,28,34,0.214,Very High,47400,1,5,Yes,0,0,0,0,0.0,1700,4.25,4,Completed,480000,588,Yes,No
NGBK000041,2024-12-31,South East,Anambra,Rural,45,Female,Married,Secondary,Self-Employed,Variable,80000,Current,No,6.7,-70300,-50700,0.387,1,Yes,No,Yes,Yes,No,Branch,0.52,High,17,23,0.353,High,140400,2,6,Yes,0,0,0,0,0.0,2400,3.0,3,Current,568000,651,No,No
NGBK000042,2024-12-31,North West,Kano,Rural,43,Female,Married,Primary,Self-Employed,Irregular,61000,Current,No,8.8,10400,9300,0.113,1,Yes,No,Yes,No,Yes,POS,0.76,High,13,13,0.0,Medium,116300,3,14,Yes,1,1,1,0,7.1,2100,3.44,2,Current,190000,646,No,No
NGBK000043,2024-12-31,South West,Lagos,Urban,30,Male,Single,OND/NCE,Private Employee,Regular,288000,Salary,Yes,2.9,200600,175200,0.145,2,No,No,Yes,Yes,Yes,Branch,0.52,High,20,23,0.15,High,504500,4,5,No,1,1,0,0,0.0,1400,0.49,3,Current,3285000,677,No,No
NGBK000044,2024-12-31,North West,Kaduna,Urban,52,Female,Separated/Widowed,HND/Bachelor,Professional/Technician,Variable,636000,Savings,No,4.9,441200,310000,0.423,4,No,No,Yes,Yes,Yes,USSD,0.68,High,36,34,-0.056,Very High,602200,0,2,Yes,1,0,0,0,0.0,2200,0.35,4,Current,6533000,667,No,No
NGBK000045,2024-12-31,North East,Taraba,Urban,57,Female,Married,Secondary,Private Employee,Regular,225000,Salary,Yes,5.8,180700,162900,0.109,1,No,No,Yes,No,Yes,Mobile App,0.46,Medium,15,21,0.4,High,346600,3,4,Yes,0,0,0,0,0.0,1400,0.62,4,No Loan,0,621,Yes,No
NGBK000046,2024-12-31,South West,Lagos,Urban,25,Female,Married,No formal,Other,Irregular,20000,Savings,No,1.8,11100,10800,0.032,1,Yes,No,Yes,No,No,POS,0.18,High,26,37,0.423,Very High,54000,0,7,Yes,0,1,0,0,0.0,1600,8.0,3,Current,250000,685,No,No
NGBK000047,2024-12-31,South East,Abia,Rural,59,Female,Married,OND/NCE,Self-Employed,Irregular,205000,Savings,No,3.2,99700,112100,-0.111,2,No,No,Yes,Yes,Yes,Mobile App,0.36,High,19,20,0.053,High,151400,2,6,Yes,0,1,1,0,4.0,1300,0.63,5,Delinquent,585000,543,No,No
NGBK000048,2024-12-31,South South,Bayelsa,Urban,33,Female,Married,OND/NCE,Civil Servant,Variable,936000,Savings,No,1.7,123500,106900,0.155,3,Yes,No,Yes,Yes,Yes,POS,0.8,High,31,35,0.129,Very High,2608000,3,5,Yes,2,3,1,1,11.6,1700,0.18,3,Current,4693000,691,No,No
NGBK000049,2024-12-31,South East,Imo,Urban,36,Male,Married,Postgraduate,Business Owner,Variable,605000,Current,No,4.2,118600,168900,-0.298,2,Yes,Yes,Yes,Yes,Yes,USSD,0.75,High,8,5,-0.375,Low,632800,3,23,No,0,0,0,0,0.0,2600,0.43,3,Completed,3665000,683,Yes,No
NGBK000050,2024-12-31,South East,Anambra,Rural,28,Female,Married,Secondary,Private Employee,Regular,289000,Salary,Yes,2.3,387200,572800,-0.324,3,Yes,No,Yes,Yes,Yes,Mobile App,0.61,High,31,22,-0.29,High,753000,4,7,No,2,2,1,0,2.5,2400,0.83,4,Delinquent,4384000,515,No,Yes
NGBK000051,2024-12-31,South South,Akwa Ibom,Rural,35,Female,Married,HND/Bachelor,Trader,Variable,113000,Savings,Yes,2.5,42700,49900,-0.145,5,Yes,No,Yes,Yes,Yes,Web Transfer,0.48,High,34,40,0.176,Very High,273800,0,2,Yes,1,0,0,0,0.0,2900,2.57,5,No Loan,0,735,Yes,No
NGBK000052,2024-12-31,South South,Edo,Urban,56,Female,Married,OND/NCE,Self-Employed,Variable,183000,Savings,No,9.8,42000,39600,0.061,1,Yes,No,No,Yes,No,Branch,0.38,Medium,15,14,-0.067,Medium,169300,4,4,No,0,0,0,0,0.0,1100,0.6,4,No Loan,0,620,No,Yes
NGBK000053,2024-12-31,South East,Anambra,Rural,36,Female,Married,Secondary,Self-Employed,Variable,119000,Savings,No,6.7,41300,36900,0.118,1,Yes,No,Yes,No,No,Mobile App,0.32,Medium,3,6,1.0,Medium,74400,1,12,Yes,0,1,0,0,0.0,1200,1.01,4,No Loan,0,654,No,No
NGBK000054,2024-12-31,South West,Lagos,Urban,58,Male,Married,HND/Bachelor,Private Employee,Regular,410000,Savings,Yes,4.5,543400,440700,0.233,5,Yes,Yes,No,No,No,Branch,0.33,Medium,34,43,0.265,Very High,930700,1,3,Yes,1,2,1,0,1.4,3800,0.93,5,Completed,623000,717,No,No
NGBK000055,2024-12-31,North East,Borno,Rural,31,Male,Married,Secondary,Private Employee,Regular,133000,Salary,Yes,2.6,81900,119600,-0.315,2,Yes,Yes,Yes,Yes,No,Mobile App,0.47,High,22,16,-0.273,High,111800,3,8,Yes,0,2,0,0,0.0,2200,1.65,4,Current,2002000,671,No,No
NGBK000056,2024-12-31,North West,Zamfara,Rural,38,Female,Married,OND/NCE,Artisan/Skilled Trade,Irregular,100000,Savings,No,2.9,138800,129200,0.074,1,Yes,No,No,No,No,POS,0.26,Low,12,11,-0.083,Medium,89400,1,19,Yes,2,2,1,0,6.1,1300,1.3,2,Completed,341000,712,No,No
NGBK000057,2024-12-31,North Central,Kogi,Rural,52,Female,Married,Secondary,Business Owner,Irregular,166000,Current,No,21.7,264800,287200,-0.078,2,Yes,Yes,Yes,No,Yes,USSD,0.52,Medium,8,3,-0.625,Low,159300,2,13,No,0,0,0,0,0.0,1900,1.14,3,Delinquent,848000,596,No,No
NGBK000058,2024-12-31,North Central,Plateau,Rural,26,Male,Married,Secondary,Civil Servant,Regular,91000,Salary,Yes,5.8,49800,45500,0.094,2,Yes,Yes,Yes,Yes,No,ATM,0.6,High,6,5,-0.167,Low,105700,3,67,No,0,3,0,0,0.0,1600,1.76,5,Completed,299000,658,No,No
NGBK000059,2024-12-31,South South,Edo,Urban,53,Female,Married,Primary,Private Employee,Regular,59000,Salary,Yes,0.3,103300,123000,-0.16,1,No,No,No,Yes,Yes,Web Transfer,0.35,Medium,19,20,0.053,High,82300,3,4,Yes,0,0,0,0,0.0,1700,2.88,4,Completed,488000,607,No,No
NGBK000060,2024-12-31,North East,Yobe,Rural,36,Male,Single,HND/Bachelor,Business Owner,Variable,612000,Current,Yes,2.3,275500,273900,0.006,3,Yes,Yes,Yes,Yes,Yes,USSD,0.65,High,30,40,0.333,Very High,2134100,1,4,Yes,0,0,0,0,0.0,3800,0.62,3,Current,6710000,746,No,No
NGBK000061,2024-12-31,North West,Katsina,Rural,26,Male,Single,HND/Bachelor,Private Employee,Regular,148000,Salary,Yes,2.1,270400,259300,0.043,3,Yes,No,No,No,No,Branch,0.13,Low,21,14,-0.333,Medium,94600,2,9,Yes,0,0,0,0,0.0,2600,1.76,5,No Loan,0,747,No,No
NGBK000062,2024-12-31,North West,Kebbi,Rural,47,Female,Married,Primary,Self-Employed,Variable,58000,Current,No,6.3,71800,82800,-0.133,2,Yes,No,No,No,No,POS,0.35,Medium,19,21,0.105,High,77900,5,7,No,0,0,0,0,0.0,2300,3.97,4,Current,850000,593,No,Yes
NGBK000063,2024-12-31,North West,Kano,Urban,38,Male,Married,Secondary,Self-Employed,Irregular,310000,Current,No,0.7,112300,86500,0.298,1,Yes,No,Yes,Yes,Yes,POS,0.86,High,4,7,0.75,Medium,455300,1,13,Yes,1,0,0,0,0.0,2300,0.74,5,No Loan,0,477,Yes,No
NGBK000064,2024-12-31,South West,Lagos,Urban,41,Female,Single,Secondary,Trader,Variable,40000,Savings,No,7.6,16800,15400,0.088,4,Yes,Yes,Yes,No,Yes,Mobile App,0.46,High,19,18,-0.053,High,46500,3,17,Yes,0,0,0,0,0.0,2400,6.0,4,Current,281000,764,No,No
NGBK000065,2024-12-31,North West,Kano,Rural,28,Male,Married,Primary,Self-Employed,Variable,104000,Savings,No,6.3,48000,71400,-0.328,1,No,No,Yes,No,No,Branch,0.5,Medium,20,17,-0.15,High,291300,4,21,No,0,0,0,0,0.0,1200,1.15,3,Completed,144000,625,No,Yes
NGBK000066,2024-12-31,South West,Ogun,Urban,55,Female,Married,Primary,Other,Irregular,140000,Savings,No,1.9,31300,31900,-0.018,1,Yes,No,Yes,Yes,No,POS,0.85,High,21,16,-0.238,High,176300,1,3,Yes,0,1,1,1,11.7,1900,1.36,3,No Loan,0,644,Yes,Yes
NGBK000067,2024-12-31,South West,Lagos,Urban,36,Female,Married,HND/Bachelor,Manager/Executive,Regular,426000,Savings,No,2.8,204500,247600,-0.174,1,Yes,No,Yes,Yes,No,Web Transfer,0.83,High,25,24,-0.04,High,634300,1,4,Yes,1,1,1,0,10.6,1700,0.4,2,Current,1273000,648,Yes,No
NGBK000068,2024-12-31,South West,Lagos,Urban,37,Female,Married,Secondary,Self-Employed,Variable,182000,Current,No,1.6,234700,187300,0.253,2,Yes,No,Yes,Yes,No,Mobile App,0.62,High,19,16,-0.158,High,123000,2,16,Yes,0,0,0,0,0.0,2000,1.1,5,No Loan,0,681,No,No
NGBK000069,2024-12-31,South West,Ogun,Urban,36,Female,Married,Secondary,Business Owner,Variable,390000,Savings,No,4.6,112900,103900,0.087,1,Yes,No,Yes,Yes,Yes,POS,0.77,High,13,15,0.154,Medium,489400,0,12,Yes,0,1,1,0,1.0,1200,0.31,4,No Loan,0,623,No,No
NGBK000070,2024-12-31,North Central,Nasarawa,Urban,31,Male,Single,HND/Bachelor,Business Owner,Variable,581000,Savings,No,3.2,147200,142500,0.033,1,Yes,No,Yes,Yes,No,Mobile App,0.68,High,12,11,-0.083,Medium,576700,1,2,Yes,2,3,0,0,0.0,400,0.07,4,No Loan,0,582,Yes,No
NGBK000071,2024-12-31,North Central,Niger,Urban,38,Female,Married,Secondary,Self-Employed,Irregular,271000,Current,No,11.9,338700,309600,0.094,1,Yes,No,Yes,Yes,No,Mobile App,0.48,High,20,22,0.1,High,342600,1,7,Yes,1,0,0,0,0.0,2500,0.92,3,No Loan,0,625,No,No
NGBK000072,2024-12-31,South East,Enugu,Urban,23,Female,Married,Secondary,Private Employee,Regular,173000,Salary,No,0.2,149900,174300,-0.14,1,Yes,No,Yes,Yes,No,ATM,0.73,High,19,19,0.0,High,198800,0,15,Yes,0,0,0,0,0.0,1000,0.58,5,Current,2871000,649,Yes,No
NGBK000073,2024-12-31,South South,Delta,Rural,34,Male,Single,Postgraduate,Self-Employed,Variable,546000,Current,No,3.2,342100,280400,0.22,2,Yes,Yes,Yes,Yes,No,POS,0.59,High,9,8,-0.111,Medium,305700,1,11,Yes,1,2,0,0,0.0,2900,0.53,5,Current,651000,590,No,No
NGBK000074,2024-12-31,South South,Edo,Urban,29,Female,Married,HND/Bachelor,Artisan/Skilled Trade,Variable,282000,Savings,No,0.6,550600,551700,-0.002,1,Yes,No,Yes,Yes,No,Mobile App,0.52,High,22,17,-0.227,High,268500,1,12,Yes,0,0,0,0,0.0,1300,0.46,3,Current,1745000,722,Yes,No
NGBK000075,2024-12-31,South East,Enugu,Urban,56,Male,Married,OND/NCE,Trader,Variable,107000,Savings,Yes,2.8,102900,104100,-0.012,2,Yes,No,Yes,Yes,Yes,ATM,0.67,High,22,15,-0.318,Medium,152600,2,1,Yes,0,0,0,0,0.0,1300,1.21,5,No Loan,0,610,No,No
NGBK000076,2024-12-31,South West,Osun,Urban,27,Female,Married,Secondary,Private Employee,Regular,86000,Savings,Yes,2.2,147400,150700,-0.022,3,Yes,No,Yes,Yes,Yes,POS,0.7,High,40,50,0.25,Very High,388500,0,6,Yes,5,2,0,0,0.0,2500,2.91,4,No Loan,0,639,Yes,No
NGBK000077,2024-12-31,South West,Osun,Rural,38,Male,Separated/Widowed,Secondary,Self-Employed,Regular,84000,Current,No,5.3,130800,128100,0.021,2,Yes,No,Yes,Yes,No,POS,0.5,Medium,4,1,-0.75,Low,49200,1,34,No,0,0,0,0,0.0,2000,2.38,3,Defaulted,395000,572,No,Yes
NGBK000078,2024-12-31,North West,Jigawa,Urban,41,Female,Single,Secondary,Self-Employed,Variable,176000,Current,No,2.6,125800,109100,0.153,3,Yes,Yes,Yes,Yes,Yes,POS,0.7,High,43,38,-0.116,Very High,451400,1,0,Yes,1,1,0,0,0.0,3900,2.22,5,Current,1702000,704,No,No
NGBK000079,2024-12-31,North Central,Nasarawa,Rural,37,Male,Separated/Widowed,Primary,Self-Employed,Variable,142000,Savings,No,1.1,139000,124300,0.118,2,Yes,Yes,Yes,Yes,Yes,Web Transfer,0.81,High,19,13,-0.316,Medium,357100,3,12,Yes,0,0,0,0,0.0,1000,0.7,2,No Loan,0,664,Yes,No
NGBK000080,2024-12-31,South South,Cross River,Rural,38,Female,Married,No formal,Self-Employed,Variable,151000,Current,No,2.7,93000,90600,0.026,1,Yes,Yes,Yes,No,No,Mobile App,0.19,Medium,29,33,0.138,Very High,219200,3,7,Yes,1,0,0,0,0.0,2900,1.92,4,No Loan,0,524,No,No
